corridor_filled,corridor_lat,corridor_lon,breakdown_count,corridor_risk
Non-corridor,12.988552021545454,77.59390224575151,1650,206446.25445566667
Mysore Road,12.95830715700885,77.56412537366371,565,85529.48207506667
Bellary Road 1,13.016451926570156,77.58622875340758,449,55127.10081426667
Tumkur Road,13.031376990496083,77.53369366475195,383,48376.341198
Bellary Road 2,13.105335311710038,77.60270225197027,269,37658.87596025833
Old Madras Road,12.982214183586956,77.63326848679348,184,22257.50096285
Magadi Road,12.985042785087721,77.52424797929824,171,20543.910435866666
ORR North 1,13.022142514575163,77.6405353088889,153,18899.912701841666
ORR East 1,12.927175965194806,77.66772772331169,154,18550.610822208335
Hosur Road,12.91122329217647,77.62701726211765,170,17894.647228466667
ORR North 2,13.040602755782311,77.55160900884354,147,17142.841295308335
West of Chord Road,12.979196987142856,77.54577176514286,105,13394.746725566667
ORR West 1,12.923511504285713,77.55490176847618,105,13292.433892425
Bannerghata Road,12.90413909139785,77.59911535806452,93,10880.157613883333
Varthur Road,12.956456525283018,77.71455534339623,53,5844.267461875
CBD 2,12.984487447058823,77.59379188235295,51,5758.804560983333
ORR East 2,12.981186220357143,77.69138375517856,56,5710.201748491667
Old Airport Road,12.959552995000001,77.65369945149999,40,4934.9473001
Hennur Main Road,13.057331785882353,77.6263163167647,34,4287.81039085
Airport New South Road,13.023961697741935,77.63052605612903,31,4089.0883062000003
IRR(Thanisandra road),12.940434627916666,77.62724741416666,24,2619.244562858333
CBD 1,12.98014758888889,77.60726634444444,9,728.38213505
