police_station,station_lat,station_lon,station_event_count,median_clearance_min
Yelahanka,13.101418912122016,77.59602580867374,377,128.60969986666666
HAL Old Airport,12.953229258476453,77.69713358504154,361,165.15058378333333
Sadashivanagar,13.010332363907285,77.57972190639073,302,124.27847700000001
Byatarayanapura,12.949359015757576,77.53422645818182,297,126.86316843333334
Halasuru Gate,12.967149079663299,77.58730524350169,297,119.985245275
Yeshwanthpura,13.026196560964285,77.54476197182143,280,103.07731288333333
Hennuru,13.04466297807971,77.63333849717392,276,146.3089277166667
Kodigehalli,13.047051728786766,77.58574237845588,272,148.3486212
Banaswadi,13.0008744317551,77.65668500404082,245,133.8007209666667
K.R. Pura,13.016152656973684,77.70573023122807,228,121.86436748333334
Kamakshipalya,12.987790087857144,77.50788902941964,224,123.2991153
No Police Station,13.033898983105024,77.49999507908676,219,136.56910649166667
Cubbon Park,12.978083878207547,77.59560769448115,212,132.88866365
Jalahalli,13.043599723401016,77.54875776197969,197,125.58288426666667
Chamarajpet,12.965532177968749,77.56378786057292,192,115.94884491666667
High ground,12.988735863621622,77.58547500432432,185,130.94046998333334
Madiwala,12.917744189728262,77.62142061146739,184,95.57697580833333
Whitefield,12.950553575911604,77.74064863558011,181,136.59936308333332
Jayanagara,12.920884838202248,77.58755516511236,178,55.51975890000001
Peenya,13.038821935955056,77.51459824264045,178,82.06843586666666
Ashok Nagar,12.962358746608189,77.60978629883041,171,130.79781570833333
Magadi Road,12.973739226760562,77.55657021183099,142,131.91168933333333
Hebbala,13.04402546637037,77.59572280896296,135,121.71940128333334
Jnanabharathi,12.96027895835821,77.50789002761195,134,102.96227996666667
Jeevanbheemanagar,12.973107426062992,77.64554054708661,127,116.99032790833333
R.T. Nagar,13.015490406220474,77.58964250023621,127,134.2212505
J.P. Nagar,12.903281966935484,77.59022278629033,124,145.67520425833334
Electronic City,12.85183874983871,77.6647288791129,124,105.98510066666667
Sheshadripuram,12.986763948130083,77.5726991908943,123,126.43621251666667
Mahadevapura,12.99278235675,77.71789089058333,120,108.73860233333335
Adugodi,12.933851865333333,77.6194345375,120,128.141605
Chikkabanavara,13.048091695762713,77.50618209957628,118,146.24796383333333
Halasur,12.969420618389831,77.62587696974576,118,136.00854578333332
Hulimavu,12.872636411794872,77.60440655999999,117,132.86394511666668
HSR Layout,12.910225844827586,77.63160690715516,116,137.349115525
Mico Layout,12.91339087112069,77.60488569698276,116,127.09812148333333
Wilson Garden,12.947583635142857,77.59252780209523,105,89.4706853
Rajajinagar,13.004768630096153,77.54120268567307,104,132.60131278333333
Banashankari,12.923206667058823,77.55685243441177,102,81.7639513
Bellandur,12.91889274887755,77.67037183275511,98,127.12718114166667
Shivajinagar,12.982883465698926,77.60257850193548,93,123.46575630833334
K.S. Layout,12.909126739325844,77.55808399348314,89,132.05470295
Malleshwaram,13.00449265,77.56229407,80,122.33610435
K.G. Halli,13.030346217972973,77.62027758378377,74,123.307757125
Pulikeshinagar(F.Town),12.996867507567567,77.61452576324324,74,109.42942635
Chikkajala,13.16540813445946,77.64158846864865,74,125.82879874166667
Upparpet,12.976659793650795,77.57716695761904,63,53.911925825
Vijayanagara,12.97928141137931,77.5421877913793,58,95.71080631666668
Thalagattapura,12.871848148,77.548235104,50,120.87181426666666
Basavanagudi,12.942620511702128,77.57138083638297,47,132.57876185
Kengeri,12.912633609772728,77.48377205909091,44,124.18698805000001
Devanahalli Airport,13.237992666756757,77.7019462654054,37,125.71982849999999
V.V.Puram (C.Pet),12.958232068648648,77.57295234567569,37,89.28892878333333
City Market,12.961732052222223,77.57835003444444,27,42.02803316666667
